Round,Round_Index,Client,Class,Layer,IoU_Local_vs_Global
round_3,3,client_4,1 - one,conv2,1.000000
round_3,3,client_4,1 - one,conv3,0.888889
round_3,3,client_4,3 - three,conv1,1.000000
round_3,3,client_4,3 - three,conv2,1.000000
round_3,3,client_4,3 - three,conv3,0.882353
round_4,4,client_0,0 - zero,conv1,1.000000
round_4,4,client_0,0 - zero,conv2,1.000000
round_4,4,client_0,0 - zero,conv3,0.750000
round_4,4,client_0,1 - one,conv1,1.000000
round_4,4,client_0,1 - one,conv2,1.000000
round_4,4,client_0,1 - one,conv3,1.000000
round_4,4,client_0,3 - three,conv1,1.000000
round_4,4,client_0,3 - three,conv2,1.000000
round_4,4,client_0,3 - three,conv3,0.944444
round_4,4,client_1,0 - zero,conv1,1.000000
round_4,4,client_1,0 - zero,conv2,0.500000
round_4,4,client_1,0 - zero,conv3,0.611111
round_4,4,client_1,1 - one,conv1,1.000000
round_4,4,client_1,1 - one,conv2,1.000000
round_4,4,client_1,1 - one,conv3,0.888889
round_4,4,client_1,3 - three,conv1,1.000000
round_4,4,client_1,3 - three,conv2,1.000000
round_4,4,client_1,3 - three,conv3,1.000000
round_4,4,client_2,0 - zero,conv1,1.000000
round_4,4,client_2,0 - zero,conv2,0.500000
round_4,4,client_2,0 - zero,conv3,0.750000
round_4,4,client_2,1 - one,conv1,1.000000
round_4,4,client_2,1 - one,conv2,1.000000
round_4,4,client_2,1 - one,conv3,0.900000
round_4,4,client_2,3 - three,conv1,1.000000
round_4,4,client_2,3 - three,conv2,1.000000
round_4,4,client_2,3 - three,conv3,0.888889
round_4,4,client_3,0 - zero,conv1,1.000000
round_4,4,client_3,0 - zero,conv2,0.333333
round_4,4,client_3,0 - zero,conv3,0.800000
round_4,4,client_3,1 - one,conv1,1.000000
round_4,4,client_3,1 - one,conv2,1.000000
round_4,4,client_3,1 - one,conv3,1.000000
round_4,4,client_3,3 - three,conv1,1.000000
round_4,4,client_3,3 - three,conv2,1.000000
round_4,4,client_3,3 - three,conv3,1.000000
round_4,4,client_4,0 - zero,conv1,1.000000
round_4,4,client_4,0 - zero,conv2,1.000000
round_4,4,client_4,0 - zero,conv3,1.000000
round_4,4,client_4,1 - one,conv1,1.000000
round_4,4,client_4,1 - one,conv2,1.000000
round_4,4,client_4,1 - one,conv3,0.818182
round_4,4,client_4,3 - three,conv1,1.000000
round_4,4,client_4,3 - three,conv2,0.800000
round_4,4,client_4,3 - three,conv3,1.000000
round_5,5,client_0,0 - zero,conv1,1.000000
round_5,5,client_0,0 - zero,conv2,1.000000
round_5,5,client_0,0 - zero,conv3,0.923077
round_5,5,client_0,1 - one,conv1,1.000000
round_5,5,client_0,1 - one,conv2,1.000000
round_5,5,client_0,1 - one,conv3,0.900000
round_5,5,client_0,3 - three,conv1,1.000000
round_5,5,client_0,3 - three,conv2,1.000000
round_5,5,client_0,3 - three,conv3,0.941176
round_5,5,client_1,0 - zero,conv1,1.000000
round_5,5,client_1,0 - zero,conv2,0.500000
round_5,5,client_1,0 - zero,conv3,0.785714
round_5,5,client_1,1 - one,conv1,1.000000
round_5,5,client_1,1 - one,conv2,1.000000
round_5,5,client_1,1 - one,conv3,0.900000
round_5,5,client_1,3 - three,conv1,1.000000
