Round,Client,Class,Layer,IoU
round_3,client_0,3 - three,conv2,0.8333
round_3,client_0,3 - three,conv3,1.0000
round_3,client_1,0 - zero,conv1,1.0000
round_3,client_1,0 - zero,conv2,1.0000
round_3,client_1,0 - zero,conv3,1.0000
round_3,client_1,1 - one,conv1,1.0000
round_3,client_1,1 - one,conv2,0.7500
round_3,client_1,1 - one,conv3,0.8889
round_3,client_1,3 - three,conv1,1.0000
round_3,client_1,3 - three,conv2,1.0000
round_3,client_1,3 - three,conv3,0.9375
round_3,client_2,0 - zero,conv1,1.0000
round_3,client_2,0 - zero,conv2,0.5000
round_3,client_2,0 - zero,conv3,1.0000
round_3,client_2,1 - one,conv1,1.0000
round_3,client_2,1 - one,conv2,1.0000
round_3,client_2,1 - one,conv3,0.8889
round_3,client_2,3 - three,conv1,1.0000
round_3,client_2,3 - three,conv2,1.0000
round_3,client_2,3 - three,conv3,0.9412
round_3,client_3,0 - zero,conv1,1.0000
round_3,client_3,0 - zero,conv2,1.0000
round_3,client_3,0 - zero,conv3,1.0000
round_3,client_3,1 - one,conv1,1.0000
round_3,client_3,1 - one,conv2,1.0000
round_3,client_3,1 - one,conv3,0.8750
round_3,client_3,3 - three,conv1,1.0000
round_3,client_3,3 - three,conv2,1.0000
round_3,client_3,3 - three,conv3,0.9375
round_3,client_4,0 - zero,conv1,1.0000
round_3,client_4,0 - zero,conv2,0.5000
round_3,client_4,0 - zero,conv3,0.9000
round_3,client_4,1 - one,conv1,1.0000
round_3,client_4,1 - one,conv2,1.0000
round_3,client_4,1 - one,conv3,0.8889
round_3,client_4,3 - three,conv1,1.0000
round_3,client_4,3 - three,conv2,1.0000
round_3,client_4,3 - three,conv3,0.8824
round_4,client_0,0 - zero,conv1,1.0000
round_4,client_0,0 - zero,conv2,1.0000
round_4,client_0,0 - zero,conv3,0.7500
round_4,client_0,1 - one,conv1,1.0000
round_4,client_0,1 - one,conv2,1.0000
round_4,client_0,1 - one,conv3,1.0000
round_4,client_0,3 - three,conv1,1.0000
round_4,client_0,3 - three,conv2,1.0000
round_4,client_0,3 - three,conv3,0.9444
round_4,client_1,0 - zero,conv1,1.0000
round_4,client_1,0 - zero,conv2,0.5000
round_4,client_1,0 - zero,conv3,0.6111
round_4,client_1,1 - one,conv1,1.0000
round_4,client_1,1 - one,conv2,1.0000
round_4,client_1,1 - one,conv3,0.8889
round_4,client_1,3 - three,conv1,1.0000
round_4,client_1,3 - three,conv2,1.0000
round_4,client_1,3 - three,conv3,1.0000
round_4,client_2,0 - zero,conv1,1.0000
round_4,client_2,0 - zero,conv2,0.5000
round_4,client_2,0 - zero,conv3,0.7500
round_4,client_2,1 - one,conv1,1.0000
round_4,client_2,1 - one,conv2,1.0000
round_4,client_2,1 - one,conv3,0.9000
round_4,client_2,3 - three,conv1,1.0000
round_4,client_2,3 - three,conv2,1.0000
round_4,client_2,3 - three,conv3,0.8889
round_4,client_3,0 - zero,conv1,1.0000
round_4,client_3,0 - zero,conv2,0.3333
round_4,client_3,0 - zero,conv3,0.8000
round_4,client_3,1 - one,conv1,1.0000
round_4,client_3,1 - one,conv2,1.0000
round_4,client_3,1 - one,conv3,1.0000
round_4,client_3,3 - three,conv1,1.0000
round_4,client_3,3 - three,conv2,1.0000
round_4,client_3,3 - three,conv3,1.0000
round_4,client_4,0 - zero,conv1,1.0000
round_4,client_4,0 - zero,conv2,1.0000
round_4,client_4,0 - zero,conv3,1.0000
round_4,client_4,1 - one,conv1,1.0000
round_4,client_4,1 - one,conv2,1.0000
round_4,client_4,1 - one,conv3,0.8182
round_4,client_4,3 - three,conv1,1.0000
round_4,client_4,3 - three,conv2,0.8000
round_4,client_4,3 - three,conv3,1.0000
round_5,client_0,0 - zero,conv1,1.0000
round_5,client_0,0 - zero,conv2,1.0000
round_5,client_0,0 - zero,conv3,0.9231
round_5,client_0,1 - one,conv1,1.0000
round_5,client_0,1 - one,conv2,1.0000
round_5,client_0,1 - one,conv3,0.9000
round_5,client_0,3 - three,conv1,1.0000
round_5,client_0,3 - three,conv2,1.0000
round_5,client_0,3 - three,conv3,0.9412
round_5,client_1,0 - zero,conv1,1.0000
round_5,client_1,0 - zero,conv2,0.5000
round_5,client_1,0 - zero,conv3,0.7857
round_5,client_1,1 - one,conv1,1.0000
round_5,client_1,1 - one,conv2,1.0000
round_5,client_1,1 - one,conv3,0.9000
round_5,client_1,3 - three,conv1,1.0000
round_5,client_1,3 - three,conv2,1.0000
round_5,client_1,3 - three,conv3,0.8235
round_5,client_2,0 - zero,conv1,1.0000
round_5,client_2,0 - zero,conv2,1.0000
round_5,client_2,0 - zero,conv3,0.8333
round_5,client_2,1 - one,conv1,1.0000
round_5,client_2,1 - one,conv2,1.0000
round_5,client_2,1 - one,conv3,1.0000
round_5,client_2,3 - three,conv1,1.0000
round_5,client_2,3 - three,conv2,1.0000
round_5,client_2,3 - three,conv3,0.9286
round_5,client_3,0 - zero,conv1,1.0000
round_5,client_3,0 - zero,conv2,1.0000
round_5,client_3,0 - zero,conv3,0.8571
round_5,client_3,1 - one,conv1,1.0000
round_5,client_3,1 - one,conv2,1.0000
round_5,client_3,1 - one,conv3,0.9000
round_5,client_3,3 - three,conv1,1.0000
round_5,client_3,3 - three,conv2,1.0000
