Transition,Round_Index,Client,Class,Layer,IoU
round_3->round_4,3,client_2,1 - one,conv2,0.750000
round_3->round_4,3,client_2,1 - one,conv3,0.700000
round_3->round_4,3,client_2,3 - three,conv1,1.000000
round_3->round_4,3,client_2,3 - three,conv2,0.833333
round_3->round_4,3,client_2,3 - three,conv3,0.888889
round_3->round_4,3,client_3,0 - zero,conv1,1.000000
round_3->round_4,3,client_3,0 - zero,conv2,0.666667
round_3->round_4,3,client_3,0 - zero,conv3,1.000000
round_3->round_4,3,client_3,1 - one,conv1,1.000000
round_3->round_4,3,client_3,1 - one,conv2,0.750000
round_3->round_4,3,client_3,1 - one,conv3,0.700000
round_3->round_4,3,client_3,3 - three,conv1,1.000000
round_3->round_4,3,client_3,3 - three,conv2,0.833333
round_3->round_4,3,client_3,3 - three,conv3,0.777778
round_3->round_4,3,client_4,0 - zero,conv1,1.000000
round_3->round_4,3,client_4,0 - zero,conv2,0.666667
round_3->round_4,3,client_4,0 - zero,conv3,1.000000
round_3->round_4,3,client_4,1 - one,conv1,1.000000
round_3->round_4,3,client_4,1 - one,conv2,0.600000
round_3->round_4,3,client_4,1 - one,conv3,0.800000
round_3->round_4,3,client_4,3 - three,conv1,1.000000
round_3->round_4,3,client_4,3 - three,conv2,0.833333
round_3->round_4,3,client_4,3 - three,conv3,0.888889
round_4->round_5,4,client_0,0 - zero,conv1,1.000000
round_4->round_5,4,client_0,0 - zero,conv2,0.500000
round_4->round_5,4,client_0,0 - zero,conv3,0.750000
round_4->round_5,4,client_0,1 - one,conv1,1.000000
round_4->round_5,4,client_0,1 - one,conv2,1.000000
round_4->round_5,4,client_0,1 - one,conv3,0.636364
round_4->round_5,4,client_0,3 - three,conv1,1.000000
round_4->round_5,4,client_0,3 - three,conv2,0.800000
round_4->round_5,4,client_0,3 - three,conv3,0.833333
round_4->round_5,4,client_1,0 - zero,conv1,1.000000
round_4->round_5,4,client_1,0 - zero,conv2,0.333333
round_4->round_5,4,client_1,0 - zero,conv3,0.647059
round_4->round_5,4,client_1,1 - one,conv1,1.000000
round_4->round_5,4,client_1,1 - one,conv2,1.000000
round_4->round_5,4,client_1,1 - one,conv3,0.636364
round_4->round_5,4,client_1,3 - three,conv1,1.000000
round_4->round_5,4,client_1,3 - three,conv2,0.800000
round_4->round_5,4,client_1,3 - three,conv3,0.842105
round_4->round_5,4,client_2,0 - zero,conv1,1.000000
round_4->round_5,4,client_2,0 - zero,conv2,0.500000
round_4->round_5,4,client_2,0 - zero,conv3,0.769231
round_4->round_5,4,client_2,1 - one,conv1,1.000000
round_4->round_5,4,client_2,1 - one,conv2,1.000000
round_4->round_5,4,client_2,1 - one,conv3,0.727273
round_4->round_5,4,client_2,3 - three,conv1,1.000000
round_4->round_5,4,client_2,3 - three,conv2,0.800000
round_4->round_5,4,client_2,3 - three,conv3,0.777778
round_4->round_5,4,client_3,0 - zero,conv1,1.000000
round_4->round_5,4,client_3,0 - zero,conv2,1.000000
round_4->round_5,4,client_3,0 - zero,conv3,0.777778
round_4->round_5,4,client_3,1 - one,conv1,1.000000
round_4->round_5,4,client_3,1 - one,conv2,1.000000
round_4->round_5,4,client_3,1 - one,conv3,0.636364
round_4->round_5,4,client_3,3 - three,conv1,1.000000
round_4->round_5,4,client_3,3 - three,conv2,0.800000
round_4->round_5,4,client_3,3 - three,conv3,0.882353
round_4->round_5,4,client_4,0 - zero,conv1,1.000000
round_4->round_5,4,client_4,0 - zero,conv2,0.666667
round_4->round_5,4,client_4,0 - zero,conv3,0.777778
round_4->round_5,4,client_4,1 - one,conv1,1.000000
round_4->round_5,4,client_4,1 - one,conv2,1.000000
round_4->round_5,4,client_4,1 - one,conv3,0.727273
round_4->round_5,4,client_4,3 - three,conv1,1.000000
round_4->round_5,4,client_4,3 - three,conv2,0.800000
round_4->round_5,4,client_4,3 - three,conv3,0.833333
round_5->round_6,5,client_0,0 - zero,conv1,1.000000
round_5->round_6,5,client_0,0 - zero,conv2,0.666667
round_5->round_6,5,client_0,0 - zero,conv3,0.583333
round_5->round_6,5,client_0,1 - one,conv1,1.000000
round_5->round_6,5,client_0,1 - one,conv2,1.000000
round_5->round_6,5,client_0,1 - one,conv3,0.818182
round_5->round_6,5,client_0,3 - three,conv1,1.000000
round_5->round_6,5,client_0,3 - three,conv2,1.000000
round_5->round_6,5,client_0,3 - three,conv3,0.823529
round_5->round_6,5,client_1,0 - zero,conv1,1.000000
round_5->round_6,5,client_1,0 - zero,conv2,1.000000
round_5->round_6,5,client_1,0 - zero,conv3,0.750000
round_5->round_6,5,client_1,1 - one,conv1,1.000000
round_5->round_6,5,client_1,1 - one,conv2,1.000000
round_5->round_6,5,client_1,1 - one,conv3,0.900000
round_5->round_6,5,client_1,3 - three,conv1,1.000000
round_5->round_6,5,client_1,3 - three,conv2,1.000000
round_5->round_6,5,client_1,3 - three,conv3,0.777778
round_5->round_6,5,client_2,0 - zero,conv1,1.000000
round_5->round_6,5,client_2,0 - zero,conv2,1.000000
round_5->round_6,5,client_2,0 - zero,conv3,0.727273
round_5->round_6,5,client_2,1 - one,conv1,1.000000
round_5->round_6,5,client_2,1 - one,conv2,1.000000
round_5->round_6,5,client_2,1 - one,conv3,0.818182
round_5->round_6,5,client_2,3 - three,conv1,1.000000
round_5->round_6,5,client_2,3 - three,conv2,1.000000
round_5->round_6,5,client_2,3 - three,conv3,0.812500
round_5->round_6,5,client_3,0 - zero,conv1,1.000000
round_5->round_6,5,client_3,0 - zero,conv2,0.666667
round_5->round_6,5,client_3,0 - zero,conv3,1.000000
round_5->round_6,5,client_3,1 - one,conv1,1.000000
round_5->round_6,5,client_3,1 - one,conv2,1.000000
round_5->round_6,5,client_3,1 - one,conv3,0.900000
round_5->round_6,5,client_3,3 - three,conv1,1.000000
round_5->round_6,5,client_3,3 - three,conv2,1.000000
round_5->round_6,5,client_3,3 - three,conv3,0.687500
round_5->round_6,5,client_4,0 - zero,conv1,1.000000
round_5->round_6,5,client_4,0 - zero,conv2,1.000000
round_5->round_6,5,client_4,0 - zero,conv3,1.000000
